Source,Number of articles
rangabali_patuakhali_gov_bd.txt,2
hcaeastflorida_com.txt,1
roelbengal_blogspot_com.txt,3
kathydobson_com.txt,1
www_esuprobhat_com.txt,3
sristisukh_com.txt,80
www_boierdesh_com.txt,42
poristhiti24_com.txt,143
dpe_khagrachhari_gov_bd.txt,2
sanjurock_wapka_me.txt,1
businesserp_biz.txt,1
manipuriblog_blogspot_com.txt,45
dhakawap_com.txt,1860
sr_kalapara_patuakhali_gov_bd.txt,2
www_crimewatchbd24_com.txt,3
atnislamic_tv.txt,1
bscic_nilphamari_gov_bd.txt,2
pokexgames_tutoriais_blogspot_com.txt,1
www_banglaschool_com.txt,3
police_joypurhat_gov_bd.txt,1
www_khulna_gov_bd.txt,17
www_gazipurdarpon_com.txt,885
bdbanglanatok_blogspot_com.txt,1
www_adhikary_net.txt,16
livepress24_com.txt,4
llbangla_org.txt,392
poetry_com.txt,1
police_tanore_rajshahi_gov_bd.txt,2
translate_wordpress_com.txt,75
kalkini24_com.txt,28
techzoom24_com.txt,43
c_mi_com.txt,1
species_wikimedia_org.txt,29
dao_golapganj_sylhet_gov_bd.txt,2
amwebcreation_com.txt,316
dwa_sunamganj_gov_bd.txt,2
jatiyo_party_com.txt,31
fakeagent_org_webstatsdomain_org.txt,1
b4boi_blogspot_com.txt,38
prison_narsingdi_gov_bd.txt,1
islamhouse_com.txt,1545
conrad_nl_incom_pk.txt,1
anandautsav_anandabazar_com.txt,17
fkprogram_org.txt,25
lifewithalpacas_blogspot_com.txt,3
muslim_teacher_blogspot_com.txt,14
updateox_com.txt,15
www_computerjagot_com.txt,244
4kmovie_in.txt,2
www_communityradio_com_bd.txt,7
www_qitaltube_blogspot_com.txt,1
lecturepublications_org.txt,85
jewelewu_wordpress_com.txt,1
abcbanglanews_com_webstatsdomain_org.txt,8
www_siddiqueenterprise_com.txt,19
cooparative_feni_gov_bd.txt,2
www_hdofblog_com.txt,2
defenceforumindia_com.txt,1
www_minecraftthegames_com.txt,7
computerandmobiletips24_blogspot_com.txt,44
www_nddtrust_gov_bd.txt,3
brandbazaarbd_com.txt,152
nupurchhanda_blogspot_com.txt,3
www_dailysquib_co_uk.txt,1
bcc_gov_bd.txt,22
my24bd_com.txt,66
monitorbd_net_tested_website.txt,1
pmis_lged_gov_bd.txt,1
xitfilms_ru.txt,3
guruchandali_com.txt,18
swadesh_tv.txt,27
www_freefilemp3_biz.txt,2
wetakecareofbusiness_net.txt,1
ita_sylhetdiv_gov_bd.txt,2
sylhetview24_com.txt,5
beleyat_blogspot_com.txt,1
bdmodelvideo_blogspot_kr.txt,1
shibir_wikia_com.txt,1
forest_feni_gov_bd.txt,2
tamannaworldbd_com.txt,10
bn_mtnews24_com.txt,151
pakundia_kishoreganj_gov_bd.txt,4
www_desievite_com.txt,7
isaacalfa_com_cutestat_com.txt,1
lightofhopebd_org.txt,1
winx_sirenix_blogspot_ca.txt,1
www_bhangakarnish_in.txt,11
multilinglab_ru.txt,1
ksnetworkbd_com.txt,12
kanchangupta_blogspot_com.txt,1
dailyjanakantha_com.txt,54
www_ubinig_org.txt,17
pdb_feni_gov_bd.txt,2
jamsiblog_wallinside_com.txt,4
www_doekhulna_com.txt,27
maya_com_bd.txt,237
popey_com.txt,1
rangpata_com.txt,19
heoun_blogspot_com.txt,4
uttarbangasambad_com.txt,705
bscic_rajshahi_gov_bd.txt,1
onlineholyquran_com.txt,9
bsafchild_net.txt,3
dumdarakka_com.txt,9
www_breakingnewsbd24_com.txt,346
lovequotes_symphonyoflove_net.txt,1
hdmovie24_in.txt,1
cs_bhola_gov_bd.txt,2
www_videosviet_com.txt,12
bnfe_kurigram_gov_bd.txt,2
dhoomx_com.txt,9
www_pust_ac_bd.txt,4
www_sadifx_com.txt,47
www_amaderbarisal_com.txt,3168
pmis_janatabank_bd_com.txt,1
www_zeldadimension_net.txt,1
jokes_cricket.txt,1
seosolution99_blogspot_com.txt,503
www_hollywoodbangla_com_webstatsdomain_org.txt,10
masalawork_blogspot_com.txt,1
amarvubon99_blogspot_com.txt,7
bia9r_blogspot_com.txt,1
achengula_com.txt,1
evelynoldfield_co_uk.txt,1
soi09_wordpress_com.txt,158
www_techkotha_com.txt,27
historyscopers_newagewatch_blogspot_com.txt,1
www_bfri_gov_bd.txt,306
whepducom_blogspot_com.txt,1
dallywoodmasalla_blogspot_com.txt,10
dharmikraj_blogspot_com.txt,1
www_universitytimes24_com.txt,5
bossvideotube_com.txt,853
cooparative_narsingdi_gov_bd.txt,1
www_lasercharge_net.txt,1
tripurainfo_com.txt,1
dr_barguna_gov_bd.txt,3
shaktivahini_wordpress_com.txt,1
helperblogbd_tk.txt,1
superuser_com.txt,1
shishuacademy_bhola_gov_bd.txt,2
heretrannies_tv.txt,10
www_mbbsdoctor_com.txt,1
quransharif_net.txt,3
sameapk_com.txt,2
theglobalnews24_com.txt,4
go_speedbit_com.txt,2
reformclub_blogspot_ie.txt,3
hajarduari_wordpress_com.txt,124
www_jamuka_gov_bd.txt,4
pdbf_adamdighi_bogra_gov_bd.txt,1
khulnascienceclub_blogspot_com.txt,11
www_ganermela_blogspot_com.txt,1
limon016_blogspot_com.txt,80
bochaganj_dinajpur_gov_bd.txt,3
wishclub_cadastro_suporte_grupo_prime_blogspot_com.txt,18
www_alertnews24_com.txt,33
weap21_org.txt,51
adib10mist_wordpress_com.txt,237
jagadanandadas_blogspot_in.txt,1
migration_uz_webstatsdomain_org.txt,1
squaretoiletries_com.txt,4
champs21_com.txt,1099
screen_celebs_blogspot_fr.txt,2
apkdom_com.txt,4
bn_globalvoices_org.txt,31590
www_porua_com_bd.txt,6
sabbir_tk.txt,4
computersoftware_nazirul_blogspot_com.txt,2
www_bestbioscope_com.txt,707
methodistambulatorysurgerycenters_com.txt,1
funnybd_com.txt,23
www_karigor_com.txt,1
www_bholapbs_org.txt,3
v24news_blogspot_com.txt,2
cpd_org_bd.txt,1420
lama_bandarban_gov_bd.txt,4
www_horse_news_net.txt,1
1080pok_com.txt,8
allresultsbd_com.txt,7
fishbase_ca.txt,11
www_dw_de.txt,63
personzz_com.txt,5
breakingnewsbn_blogspot_com.txt,1
www_a2place_com.txt,1
sangbad_com_bd.txt,1
www_ans_bissoy_com.txt,16947
mha_gov_bd.txt,471
bgpscl_edu_bd.txt,2
computerclubbd_com.txt,80
eimatro_com_incom_pk.txt,1
mbd24_com.txt,1
it_okfn_org.txt,1
bnfe_portal_gov_bd.txt,8
timesworld24_com.txt,1597
bgb_khagrachhari_gov_bd.txt,2
www_bartamanpatrika_com.txt,99
petanimals89_blogspot_com.txt,1
ec_pirojpur_gov_bd.txt,2
www_environmentmove_com.txt,203
blog_indiaresults_com.txt,1
thebengalitimes_com.txt,36
weareswarming_blogspot_com.txt,5
bogrardadhi_blogspot_com.txt,10
bdnewtrick_tk.txt,22
vexvideo_xyz.txt,1
bangla_bdnews_com.txt,2093
www_spis_pl.txt,7
epapershunt_com.txt,8
bjoy71_com.txt,12
www_bg_com_bd.txt,3
karimgonj_kishoreganj_gov_bd.txt,4
www_echarcha_com.txt,1
www_bteb_gov_bd.txt,134
phallusaur_com.txt,24
charrajibpur_kurigram_gov_bd.txt,3
bwdb_noakhali_gov_bd.txt,2
vb9_info.txt,73
stackexchange_com.txt,1
www_uplbooks_com_bd.txt,1
just4funonly_blogspot_com.txt,1
howtogettopsearchenginelistings_com.txt,1
greenbangla24_com.txt,4
sesip_gov_bd.txt,138
amarbangla_in.txt,5
gsmideazone_blogspot_com.txt,2
brdb_bhola_gov_bd.txt,2
cdvdcover_com.txt,1
www_tricktoday_com.txt,32
erp_dhakaeducationboard_gov_bd.txt,4
dlrs_portal_gov_bd.txt,8
ec_org_bd.txt,135
dainiknews_com.txt,1
bookself_bookself_blogspot_com.txt,1
a4hands_wordpress_com.txt,3
www_english_bangla_com.txt,478
www_duetcs_org.txt,1
muktibarta24_com.txt,72
fulbariacollege_edu_bd.txt,2
nsc_gov_bd.txt,159
sportsbangladeshdhaka_blogspot_com.txt,11
uncultured_com.txt,1
radioputul_com.txt,22
www_sahos24_com.txt,81
www_desitvbox_me.txt,5
fakamon_blogspot_com.txt,1
pio_akkelpur_joypurhat_gov_bd.txt,2
bangladeshigirlphonenumber_blogspot_com.txt,1
joyjatrabdnews_com.txt,2
aroyfloyd_blogspot_com.txt,13
damudya_shariatpur_gov_bd.txt,3
thewire_in.txt,9
www_biborton24_com.txt,93
santiye_tv.txt,1
prothom_alojobs_com.txt,104
banglarocklyrics_blogspot_com.txt,62
songbad52_msdesignbd_blogspot_com.txt,17
aiubproblemsolver_blogspot_com.txt,3
oldsite_dailyjanakantha_com.txt,328
tube_amarlove_net.txt,30
www_kabirdhali_com.txt,19
www_projukti24_com.txt,14
blog_abhranil_net.txt,2
nynjbengali_com.txt,32
bangladeshinasia_blogspot_com.txt,1
lovelyheart_in.txt,1
forex_bangla_com.txt,7996
largeporntube_me.txt,3
serversolution4u_com.txt,13
masudulkabir_com.txt,4
www_pabna_gov_bd.txt,594
www_biponee_com.txt,1
ahkinternational_blogspot_com.txt,4
everythinginherenet_blogspot_com.txt,27
www_postcrossing_com.txt,2
hdlikes_com.txt,9
expedition_megacosm_blogspot_in.txt,1
ins_nafsadh_com.txt,3
heightincreasingtipsandtechniques_blogspot_com.txt,12
www_caab_gov_bd.txt,1
